t	CH1	CH2
0.000000e+00	6.056497e-03	1.659342e+01
1.000000e-08	5.792133e-03	1.642095e+01
2.000000e-08	5.761749e-03	1.623551e+01
3.000000e-08	5.471131e-03	1.610071e+01
4.000000e-08	5.158669e-03	1.597881e+01
5.000000e-08	4.824074e-03	1.579239e+01
6.000000e-08	4.632715e-03	1.561645e+01
7.000000e-08	4.401282e-03	1.546655e+01
8.000000e-08	4.171135e-03	1.527708e+01
9.000000e-08	3.877572e-03	1.508648e+01
1.000000e-07	3.796987e-03	1.487011e+01
1.100000e-07	3.832630e-03	1.471863e+01
1.200000e-07	3.804253e-03	1.449776e+01
1.300000e-07	3.439345e-03	1.435186e+01
1.400000e-07	2.917479e-03	1.411873e+01
1.500000e-07	2.903392e-03	1.391816e+01
1.600000e-07	2.924546e-03	1.372663e+01
1.700000e-07	2.969059e-03	1.347710e+01
1.800000e-07	2.689848e-03	1.327770e+01
1.900000e-07	2.341223e-03	1.303608e+01
2.000000e-07	2.378959e-03	1.287561e+01
2.100000e-07	2.373890e-03	1.264445e+01
2.200000e-07	2.309430e-03	1.241600e+01
2.300000e-07	2.026184e-03	1.215232e+01
2.400000e-07	1.998965e-03	1.197074e+01
2.500000e-07	1.912578e-03	1.164763e+01
2.600000e-07	2.057370e-03	1.144297e+01
2.700000e-07	1.853240e-03	1.116091e+01
2.800000e-07	1.557827e-03	1.095020e+01
2.900000e-07	1.330797e-03	1.064499e+01
3.000000e-07	1.513673e-03	1.035179e+01
3.100000e-07	1.363331e-03	1.012871e+01
3.200000e-07	1.182976e-03	9.804521e+00
3.300000e-07	1.173566e-03	9.540763e+00
3.400000e-07	1.109168e-03	9.229680e+00
3.500000e-07	1.126921e-03	9.036973e+00
3.600000e-07	9.633284e-04	8.760334e+00
3.700000e-07	7.441421e-04	8.478028e+00
3.800000e-07	6.790876e-04	8.173891e+00
3.900000e-07	8.449051e-04	7.879678e+00
4.000000e-07	8.018306e-04	7.606099e+00
4.100000e-07	6.888553e-04	7.260281e+00
4.200000e-07	6.484674e-04	7.004451e+00
4.300000e-07	5.722370e-04	6.771792e+00
4.400000e-07	5.118163e-04	6.425973e+00
4.500000e-07	5.280453e-04	6.173814e+00
4.600000e-07	4.604280e-04	5.868306e+00
4.700000e-07	2.550770e-04	5.585414e+00
