# Temperatura_=_-1.1331395348837205
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_268350.22764894797
# Promedio de 172 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-1.099226e-08	-3.914184e-09	-5.691564e+01	-9.957955e+02
1.000000e-08	-1.099025e-08	-3.914136e-09	-5.690524e+01	-9.956817e+02
2.000000e-08	-1.098527e-08	-3.911900e-09	-5.687946e+01	-9.955115e+02
3.000000e-08	-1.097738e-08	-3.910912e-09	-5.683863e+01	-9.952942e+02
4.000000e-08	-1.096638e-08	-3.911693e-09	-5.678166e+01	-9.950341e+02
5.000000e-08	-1.095210e-08	-3.909781e-09	-5.670772e+01	-9.947272e+02
6.000000e-08	-1.093469e-08	-3.907799e-09	-5.661760e+01	-9.943597e+02
7.000000e-08	-1.091460e-08	-3.908493e-09	-5.651354e+01	-9.939104e+02
8.000000e-08	-1.089183e-08	-3.909895e-09	-5.639568e+01	-9.933566e+02
9.000000e-08	-1.086589e-08	-3.905680e-09	-5.626133e+01	-9.926832e+02
1.000000e-07	-1.083635e-08	-3.885731e-09	-5.610841e+01	-9.918919e+02
1.100000e-07	-1.080320e-08	-3.883973e-09	-5.593676e+01	-9.910078e+02
1.200000e-07	-1.076672e-08	-3.908422e-09	-5.574788e+01	-9.900801e+02
1.300000e-07	-1.072741e-08	-3.894172e-09	-5.554431e+01	-9.891743e+02
1.400000e-07	-1.068563e-08	-3.871829e-09	-5.532800e+01	-9.883587e+02
1.500000e-07	-1.064143e-08	-3.905046e-09	-5.509915e+01	-9.876859e+02
1.600000e-07	-1.059439e-08	-3.894181e-09	-5.485555e+01	-9.871759e+02
1.700000e-07	-1.054423e-08	-3.854571e-09	-5.459584e+01	-9.868057e+02
1.800000e-07	-1.049114e-08	-3.894216e-09	-5.432095e+01	-9.865092e+02
1.900000e-07	-1.043493e-08	-3.883195e-09	-5.402990e+01	-9.861881e+02
2.000000e-07	-1.037584e-08	-3.839606e-09	-5.372395e+01	-9.857322e+02
2.100000e-07	-1.031417e-08	-3.884999e-09	-5.340467e+01	-9.850433e+02
2.200000e-07	-1.024964e-08	-3.879850e-09	-5.307055e+01	-9.840563e+02
2.300000e-07	-1.018230e-08	-3.833901e-09	-5.272184e+01	-9.827513e+02
2.400000e-07	-1.011195e-08	-3.861775e-09	-5.235762e+01	-9.811532e+02
2.500000e-07	-1.003841e-08	-3.863652e-09	-5.197682e+01	-9.793203e+02
2.600000e-07	-9.961822e-09	-3.825086e-09	-5.158027e+01	-9.773243e+02
2.700000e-07	-9.882154e-09	-3.826387e-09	-5.116777e+01	-9.752299e+02
2.800000e-07	-9.799697e-09	-3.831934e-09	-5.074082e+01	-9.730780e+02
2.900000e-07	-9.714715e-09	-3.807633e-09	-5.030080e+01	-9.708794e+02
3.000000e-07	-9.627041e-09	-3.802719e-09	-4.984684e+01	-9.686186e+02
3.100000e-07	-9.536534e-09	-3.807552e-09	-4.937822e+01	-9.662650e+02
3.200000e-07	-9.443180e-09	-3.785892e-09	-4.889485e+01	-9.637882e+02
3.300000e-07	-9.347022e-09	-3.772502e-09	-4.839696e+01	-9.611703e+02
3.400000e-07	-9.248072e-09	-3.765842e-09	-4.788462e+01	-9.584111e+02
3.500000e-07	-9.146467e-09	-3.754468e-09	-4.735853e+01	-9.555266e+02
3.600000e-07	-9.042183e-09	-3.744074e-09	-4.681857e+01	-9.525395e+02
3.700000e-07	-8.935135e-09	-3.731471e-09	-4.626430e+01	-9.494692e+02
3.800000e-07	-8.825417e-09	-3.721030e-09	-4.569620e+01	-9.463225e+02
3.900000e-07	-8.712987e-09	-3.709450e-09	-4.511406e+01	-9.430905e+02
4.000000e-07	-8.597793e-09	-3.694760e-09	-4.451761e+01	-9.397523e+02
4.100000e-07	-8.479972e-09	-3.678791e-09	-4.390756e+01	-9.362828e+02
4.200000e-07	-8.359703e-09	-3.664725e-09	-4.328483e+01	-9.326621e+02
4.300000e-07	-8.237031e-09	-3.649560e-09	-4.264966e+01	-9.288824e+02
4.400000e-07	-8.111995e-09	-3.634507e-09	-4.200225e+01	-9.249490e+02
4.500000e-07	-7.984685e-09	-3.622223e-09	-4.134307e+01	-9.208767e+02
4.600000e-07	-7.855128e-09	-3.605211e-09	-4.067225e+01	-9.166812e+02
4.700000e-07	-7.723363e-09	-3.586268e-09	-3.998999e+01	-9.123715e+02
4.800000e-07	-7.589468e-09	-3.569145e-09	-3.929671e+01	-9.079442e+02
4.900000e-07	-7.453441e-09	-3.550550e-09	-3.859239e+01	-9.033839e+02
5.000000e-07	-7.315270e-09	-3.530725e-09	-3.787697e+01	-8.986677e+02
5.100000e-07	-7.174958e-09	-3.513017e-09	-3.715047e+01	-8.937735e+02
5.200000e-07	-7.032516e-09	-3.495097e-09	-3.641293e+01	-8.886865e+02
5.300000e-07	-6.888082e-09	-3.474379e-09	-3.566508e+01	-8.834035e+02
5.400000e-07	-6.741818e-09	-3.453495e-09	-3.490776e+01	-8.779309e+02
5.500000e-07	-6.593803e-09	-3.431215e-09	-3.414136e+01	-8.722792e+02
5.600000e-07	-6.444031e-09	-3.406701e-09	-3.336588e+01	-8.664551e+02
5.700000e-07	-6.292507e-09	-3.382488e-09	-3.258131e+01	-8.604549e+02
5.800000e-07	-6.139238e-09	-3.358687e-09	-3.178772e+01	-8.542623e+02
5.900000e-07	-5.984226e-09	-3.334482e-09	-3.098510e+01	-8.478506e+02
6.000000e-07	-5.827532e-09	-3.309712e-09	-3.017377e+01	-8.411900e+02
6.100000e-07	-5.669212e-09	-3.283047e-09	-2.935402e+01	-8.342546e+02
6.200000e-07	-5.509272e-09	-3.254008e-09	-2.852589e+01	-8.270289e+02
6.300000e-07	-5.347729e-09	-3.223903e-09	-2.768945e+01	-8.195087e+02
6.400000e-07	-5.184602e-09	-3.192946e-09	-2.684481e+01	-8.116979e+02
6.500000e-07	-5.019914e-09	-3.161055e-09	-2.599209e+01	-8.036012e+02
6.600000e-07	-4.853742e-09	-3.128615e-09	-2.513168e+01	-7.952167e+02
6.700000e-07	-4.686134e-09	-3.095208e-09	-2.426384e+01	-7.865309e+02
6.800000e-07	-4.517095e-09	-3.060363e-09	-2.338860e+01	-7.775181e+02
6.900000e-07	-4.346679e-09	-3.024040e-09	-2.250622e+01	-7.681448e+02
7.000000e-07	-4.174933e-09	-2.986100e-09	-2.161695e+01	-7.583771e+02
7.100000e-07	-4.001885e-09	-2.946114e-09	-2.072094e+01	-7.481869e+02
7.200000e-07	-3.827612e-09	-2.903869e-09	-1.981859e+01	-7.375560e+02
7.300000e-07	-3.652186e-09	-2.859730e-09	-1.891028e+01	-7.264737e+02
7.400000e-07	-3.475641e-09	-2.814501e-09	-1.799616e+01	-7.149309e+02
7.500000e-07	-3.298017e-09	-2.768072e-09	-1.707646e+01	-7.029114e+02
7.600000e-07	-3.119365e-09	-2.719385e-09	-1.615144e+01	-6.903841e+02
7.700000e-07	-2.939791e-09	-2.667775e-09	-1.522164e+01	-6.772996e+02
7.800000e-07	-2.759372e-09	-2.613042e-09	-1.428747e+01	-6.635922e+02
7.900000e-07	-2.578114e-09	-2.555573e-09	-1.334896e+01	-6.491868e+02
8.000000e-07	-2.396062e-09	-2.495469e-09	-1.240633e+01	-6.340073e+02
8.100000e-07	-2.213318e-09	-2.432379e-09	-1.146011e+01	-6.179837e+02
8.200000e-07	-2.029988e-09	-2.365915e-09	-1.051087e+01	-6.010542e+02
8.300000e-07	-1.846152e-09	-2.295853e-09	-9.559004e+00	-5.831604e+02
8.400000e-07	-1.661872e-09	-2.221900e-09	-8.604844e+00	-5.642374e+02
8.500000e-07	-1.477243e-09	-2.143173e-09	-7.648870e+00	-5.442021e+02
8.600000e-07	-1.292317e-09	-2.058928e-09	-6.691364e+00	-5.229426e+02
8.700000e-07	-1.107111e-09	-1.968849e-09	-5.732405e+00	-5.003140e+02
8.800000e-07	-9.216770e-10	-1.872880e-09	-4.772264e+00	-4.761418e+02
8.900000e-07	-7.360628e-10	-1.770427e-09	-3.811192e+00	-4.502329e+02
9.000000e-07	-5.503134e-10	-1.660473e-09	-2.849420e+00	-4.223922e+02
9.100000e-07	-3.645067e-10	-1.541846e-09	-1.887351e+00	-3.924414e+02
9.200000e-07	-1.786875e-10	-1.413966e-09	-9.252176e-01	-3.602360e+02
9.300000e-07	7.133652e-12	-1.276986e-09	3.692610e-02	-3.256790e+02
9.400000e-07	1.929289e-10	-1.130763e-09	9.989355e-01	-2.887300e+02
9.500000e-07	3.786963e-10	-9.749447e-10	1.960801e+00	-2.494096e+02
9.600000e-07	5.644206e-10	-8.096910e-10	2.922443e+00	-2.078021e+02
9.700000e-07	7.500121e-10	-6.361253e-10	3.883398e+00	-1.640548e+02
9.800000e-07	9.354010e-10	-4.558038e-10	4.843303e+00	-1.183766e+02
9.900000e-07	1.120562e-09	-2.699364e-10	5.802030e+00	-7.103322e+01
1.000000e-06	1.305468e-09	-7.896091e-11	6.759436e+00	-2.234018e+01
1.010000e-06	1.490080e-09	1.162266e-10	7.715316e+00	2.734873e+01
1.020000e-06	1.674387e-09	3.145018e-10	8.669621e+00	7.765508e+01
1.030000e-06	1.858355e-09	5.141888e-10	9.622171e+00	1.281904e+02
1.040000e-06	2.041876e-09	7.126575e-10	1.057240e+01	1.785690e+02
1.050000e-06	2.224860e-09	9.085507e-10	1.151986e+01	2.284158e+02
1.060000e-06	2.407248e-09	1.100994e-09	1.246422e+01	2.773697e+02
1.070000e-06	2.588958e-09	1.287963e-09	1.340508e+01	3.250819e+02
1.080000e-06	2.769901e-09	1.467908e-09	1.434197e+01	3.712131e+02
1.090000e-06	2.950004e-09	1.640566e-09	1.527450e+01	4.154337e+02
1.100000e-06	3.129235e-09	1.805521e-09	1.620252e+01	4.574303e+02
1.110000e-06	3.307564e-09	1.961553e-09	1.712587e+01	4.969200e+02
1.120000e-06	3.484908e-09	2.106888e-09	1.804412e+01	5.336717e+02
1.130000e-06	3.661195e-09	2.239712e-09	1.895690e+01	5.675301e+02
1.140000e-06	3.836392e-09	2.359657e-09	1.986403e+01	5.984358e+02
1.150000e-06	4.010469e-09	2.468095e-09	2.076537e+01	6.264359e+02
1.160000e-06	4.183354e-09	2.566519e-09	2.166053e+01	6.516805e+02
1.170000e-06	4.354954e-09	2.655409e-09	2.254905e+01	6.744043e+02
1.180000e-06	4.525244e-09	2.735497e-09	2.343077e+01	6.948973e+02
1.190000e-06	4.694195e-09	2.808315e-09	2.430557e+01	7.134689e+02
1.200000e-06	4.861755e-09	2.875041e-09	2.517316e+01	7.304140e+02
1.210000e-06	5.027878e-09	2.936506e-09	2.603331e+01	7.459878e+02
1.220000e-06	5.192489e-09	2.993201e-09	2.688563e+01	7.603926e+02
1.230000e-06	5.355523e-09	3.045326e-09	2.772979e+01	7.737774e+02
1.240000e-06	5.516981e-09	3.093258e-09	2.856578e+01	7.862474e+02
1.250000e-06	5.676864e-09	3.138048e-09	2.939363e+01	7.978793e+02
1.260000e-06	5.835140e-09	3.180598e-09	3.021315e+01	8.087357e+02
1.270000e-06	5.991742e-09	3.220816e-09	3.102400e+01	8.188761e+02
1.280000e-06	6.146591e-09	3.258213e-09	3.182577e+01	8.283613e+02
1.290000e-06	6.299631e-09	3.293052e-09	3.261818e+01	8.372533e+02
1.300000e-06	6.450827e-09	3.325963e-09	3.340104e+01	8.456115e+02
1.310000e-06	6.600197e-09	3.357043e-09	3.417445e+01	8.534883e+02
1.320000e-06	6.747756e-09	3.386155e-09	3.493849e+01	8.609273e+02
1.330000e-06	6.893469e-09	3.413390e-09	3.569295e+01	8.679632e+02
1.340000e-06	7.037281e-09	3.439287e-09	3.643758e+01	8.746243e+02
1.350000e-06	7.179112e-09	3.464412e-09	3.717196e+01	8.809361e+02
1.360000e-06	7.318877e-09	3.488758e-09	3.789563e+01	8.869234e+02
