t	CH1	CH2
0.000000e+00	6.910444e-03	1.665000e+01
1.000000e-08	6.347593e-03	1.649111e+01
2.000000e-08	5.714869e-03	1.638279e+01
3.000000e-08	5.529391e-03	1.622492e+01
4.000000e-08	5.510522e-03	1.602795e+01
5.000000e-08	5.000643e-03	1.589008e+01
6.000000e-08	4.275027e-03	1.573161e+01
7.000000e-08	3.809467e-03	1.552122e+01
8.000000e-08	3.420217e-03	1.535324e+01
9.000000e-08	3.411100e-03	1.513129e+01
1.000000e-07	3.469756e-03	1.499477e+01
1.100000e-07	3.324416e-03	1.476435e+01
1.200000e-07	3.230051e-03	1.461895e+01
1.300000e-07	2.761785e-03	1.442692e+01
1.400000e-07	2.510615e-03	1.416592e+01
1.500000e-07	2.282761e-03	1.399544e+01
1.600000e-07	2.108021e-03	1.376585e+01
1.700000e-07	2.000083e-03	1.358477e+01
1.800000e-07	1.879412e-03	1.337472e+01
1.900000e-07	2.042766e-03	1.314376e+01
2.000000e-07	2.131327e-03	1.294331e+01
2.100000e-07	1.717389e-03	1.270218e+01
2.200000e-07	1.189394e-03	1.250219e+01
2.300000e-07	1.174930e-03	1.231015e+01
2.400000e-07	1.391030e-03	1.204798e+01
2.500000e-07	1.434130e-03	1.174687e+01
2.600000e-07	1.294697e-03	1.152226e+01
2.700000e-07	1.088747e-03	1.123905e+01
2.800000e-07	8.825200e-04	1.100835e+01
2.900000e-07	1.111301e-03	1.071527e+01
3.000000e-07	1.012438e-03	1.049108e+01
3.100000e-07	5.249798e-04	1.022898e+01
3.200000e-07	7.573631e-04	9.946350e+00
3.300000e-07	9.813372e-04	9.668731e+00
3.400000e-07	7.119755e-04	9.406872e+00
3.500000e-07	4.968659e-04	9.137217e+00
3.600000e-07	6.576860e-04	8.829056e+00
3.700000e-07	3.990784e-04	8.586445e+00
3.800000e-07	5.255574e-05	8.302770e+00
3.900000e-07	5.399768e-04	8.047027e+00
4.000000e-07	5.699149e-04	7.733714e+00
4.100000e-07	2.981858e-04	7.409950e+00
4.200000e-07	4.281528e-04	7.154714e+00
4.300000e-07	2.462377e-04	6.850055e+00
4.400000e-07	-1.423387e-04	6.543841e+00
4.500000e-07	-6.394728e-06	6.241559e+00
4.600000e-07	3.969031e-05	5.967474e+00
4.700000e-07	-6.937395e-05	5.710205e+00
4.800000e-07	1.075534e-04	5.388449e+00
4.900000e-07	1.994288e-04	5.079633e+00
5.000000e-07	-1.190802e-04	4.713264e+00
5.100000e-07	-4.573198e-04	4.448604e+00
5.200000e-07	-5.338895e-04	4.173344e+00
5.300000e-07	-3.258819e-04	3.868636e+00
5.400000e-07	-3.579318e-04	3.578420e+00
5.500000e-07	-4.058354e-04	3.280633e+00
5.600000e-07	-3.472065e-04	2.995817e+00
5.700000e-07	-4.282042e-04	2.692714e+00
5.800000e-07	-3.734411e-04	2.364842e+00
5.900000e-07	-5.972886e-04	2.092160e+00
6.000000e-07	-6.800576e-04	1.789919e+00
6.100000e-07	-5.132801e-04	1.461104e+00
6.200000e-07	-6.790523e-04	1.122739e+00
6.300000e-07	-6.901306e-04	7.564432e-01
6.400000e-07	-5.231877e-04	4.626555e-01
6.500000e-07	-3.697483e-04	1.467496e-01
6.600000e-07	-4.143811e-04	-1.988700e-01
6.700000e-07	1.250303e-03	-4.315790e-01
6.800000e-07	6.069165e-04	-7.973945e-01
6.900000e-07	-1.561236e-03	-1.044055e+00
